name,parent_facility,clinic,district
Thundu,Sadzi Health Centre,yes,Zomba
3 miles,Sadzi Health Centre,yes,Zomba
NAMAKOKA,St. Robert,yes,Zomba
ANA MALAWI,St. Robert,yes,Zomba
SITIMA,St. Robert,yes,Zomba
CHILUNGA,St. Robert,yes,Zomba
BWANALI,St. Robert,yes,Zomba
NYALUGWE,St. Robert,yes,Zomba
NAMALITHA,St. Robert,yes,Zomba
Katete,Thondwe Dispensary,yes,Zomba
Kasenda,Thondwe Dispensary,yes,Zomba
Chimtali,Thondwe Dispensary,yes,Zomba
Gologota,Thondwe Dispensary,yes,Zomba
Sande,Thondwe Dispensary,yes,Zomba
Nsanama,Thondwe Dispensary,yes,Zomba
Mategula,Thondwe Dispensary,yes,Zomba
Mpotola,Thondwe Dispensary,yes,Zomba
